WELL_NAME,REL_NAME,UBHI,STRING_NAME,FIELD,PRODUCTION_DATE,LAYER_NAME,OIL_VOLUME,GAS_VOLUME,WATER_VOLUME,CONDENSATE_VOLUME,OIL_MASS,GAS_MASS,WATER_MASS,CONDENSATE_MASS,FLOWING_HOURS
N-94,EH,N-94,Single_String,BAN,30-Sep-24,KPYX65B,0,0,0,0,0,0,0,0,0
N-93,EC,N-93,Single_String,BAN,30-Sep-24,KPYX-82,0,760782,67.3,2.02,0,0.76,67.3,1.64,718
N-92,EF,N-92,Single_String,BAN,30-Sep-24,KPYX55B,0,1573889,64.45,3.11,0,1.57,64.45,2.52,720
N-91,EB,N-91,Single_String,BAN,30-Sep-24,KPYX-30,0,1423699,30.88,3.11,0,1.42,30.88,2.52,720
N-90,ED,N-90,Single_String,BAN,30-Sep-24,KPYX-83,0,1420918,31.8,1.94,0,1.42,31.8,1.57,718
N-89,DY,N-89,Single_String,BAN,30-Sep-24,KPYXP-8,0,0,0,0,0,0,0,0,0
N-88,DZ,N-88,Single_String,BAN,30-Sep-24,KPYX65B,0,141908,47.86,2.84,0,0.14,47.86,2.3,628
N-87,EG,N-87,Single_String,BAN,30-Sep-24,KPYX-30,0,2852005,33.15,2.05,0,2.85,33.15,1.66,683.25
N-86,BN,N-86,Single_String,BAN,30-Sep-24,KPYX-82,0,1590116,91.17,3.27,0,1.59,91.17,2.65,720
N-84,FT,N-84,Single_String,BAN,30-Sep-24,NEYXAND,0,0,0,0,0,0,0,0,0
N-83,DX,N-83,Single_String,BAN,30-Sep-24,NEYXAND,0,3164665,74.01,1.75,0,3.16,74.01,1.42,720
N-80,DS,N-80,Single_String,BAN,30-Sep-24,KPYXP-8,0,0,0,0,0,0,0,0,0
N-79,DV,N-79,Single_String,BAN,30-Sep-24,NEYXAND,0,0,0,0,0,0,0,0,72.01
N-78,DU,N-78,Single_String,BAN,30-Sep-24,KPYX-10,0,0,0,0,0,0,0,0,0
